,sr_no,title,no_of_rows,no_of_columns,no_of_numerical_columns,no_of_string_columns,column_types,percent_unique_values_total,percent_unique_values_numeric,percent_unique_values_string,percent_null_values_total,percent_null_values_numeric,percent_null_values_string,unique_values,null_values,column_headers,modified_date,available_formats
10,10,Allegheny County Property Assessments,580526,86,35,51,"['S', 'N', 'S', 'S', 'S', 'S', 'S', 'N', 'N', 'S', 'N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'N', 'S', 'S', 'S', 'N', 'S', 'N', 'S', 'S', 'S', 'S', 'S', 'S', 'N', 'S', 'S', 'S', 'S', 'S', 'N', 'S', 'N', 'S', 'S', 'S', 'S', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'S', 'S', 'N', 'N', 'N', 'S', 'N', 'S', 'N', 'S', 'S', 'S', 'N', 'S', 'S', 'S', 'N', 'N', 'N', 'N', 'S', 'S', 'N', 'N', 'N', 'N', 'S', 'N', 'S']",5.118888171104489,1.267171004030335,7.762223481841654,18.40782084635514,12.574665045148711,22.41096698443798,"[580526, 10973, 2694, 16192, 102, 1, 2337, 123, 175, 175, 46, 46, 522811, 383535, 253511, 1000, 563, 3, 3, 3, 3, 10, 10, 7, 7, 182, 178, 54807, 2, 2, 2, 2, 5786, 26835, 33863, 83, 29, 23441, 3012, 21763, 22738, 18608, 15188, 396131, 1207, 4269, 6925, 14284, 7945, 15236, 583, 14376, 7949, 15252, 14177, 7801, 15147, 54, 29, 12, 227, 9, 9, 7, 7, 6, 6, 22, 22, 9, 9, 9, 9, 40, 17, 13, 11, 17, 16, 12, 8, 6226, 16, 26134, 1, 1]","[0, 53, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 20, 64164, 242803, 0, 917, 0, 0, 578814, 578814, 0, 0, 0, 0, 0, 2, 0, 275137, 580520, 578840, 579944, 241779, 7385, 9835, 8385, 9940, 52553, 52759, 208362, 210009, 385582, 386134, 0, 0, 0, 12224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135041, 135041, 135057, 135041, 135048, 135048, 135757, 135757, 135145, 135145, 135051, 135051, 135117, 135117, 135119, 135119, 135118, 135088, 135171, 138760, 135225, 135225, 168855, 154701, 135041, 135041, 554291, 0, 0]","['PARID' 'PROPERTYHOUSENUM' 'PROPERTYFRACTION' 'PROPERTYADDRESS'
 'PROPERTYCITY' 'PROPERTYSTATE' 'PROPERTYUNIT' 'PROPERTYZIP' 'MUNICODE'
 'MUNIDESC' 'SCHOOLCODE' 'SCHOOLDESC' 'LEGAL1' 'LEGAL2' 'LEGAL3'
 'NEIGHCODE' 'NEIGHDESC' 'TAXCODE' 'TAXDESC' 'TAXSUBCODE' 'TAXSUBCODE_DESC'
 'OWNERCODE' 'OWNERDESC' 'CLASS' 'CLASSDESC' 'USECODE' 'USEDESC' 'LOTAREA'
 'HOMESTEADFLAG' 'FARMSTEADFLAG' 'CLEANGREEN' 'ABATEMENTFLAG' 'RECORDDATE'
 'SALEDATE' 'SALEPRICE' 'SALECODE' 'SALEDESC' 'DEEDBOOK' 'DEEDPAGE'
 'PREVSALEDATE' 'PREVSALEPRICE' 'PREVSALEDATE2' 'PREVSALEPRICE2'
 'CHANGENOTICEADDRESS1' 'CHANGENOTICEADDRESS2' 'CHANGENOTICEADDRESS3'
 'CHANGENOTICEADDRESS4' 'COUNTYBUILDING' 'COUNTYLAND' 'COUNTYTOTAL'
 'COUNTYEXEMPTBLDG' 'LOCALBUILDING' 'LOCALLAND' 'LOCALTOTAL'
 'FAIRMARKETBUILDING' 'FAIRMARKETLAND' 'FAIRMARKETTOTAL' 'STYLE'
 'STYLEDESC' 'STORIES' 'YEARBLT' 'EXTERIORFINISH' 'EXTFINISH_DESC' 'ROOF'
 'ROOFDESC' 'BASEMENT' 'BASEMENTDESC' 'GRADE' 'GRADEDESC' 'CONDITION'
 'CONDITIONDESC' 'CDU' 'CDUDESC' 'TOTALROOMS' 'BEDROOMS' 'FULLBATHS'
 'HALFBATHS' 'HEATINGCOOLING' 'HEATINGCOOLINGDESC' 'FIREPLACES'
 'BSMTGARAGE' 'FINISHEDLIVINGAREA' 'CARDNUMBER' 'ALT_ID' 'TAXYEAR'
 'ASOFDATE']","August 3, 2018","['CSV', 'CSV', 'CSV', 'PDF', 'HTML', 'HTML', '6 more in dataset']"
11,11,Allegheny County Dog Licenses,31550,7,2,5,"['S', 'S', 'S', 'S', 'N', 'N', 'S']",15.601992302467737,0.21711568938193346,21.75594294770206,0.00905592030790129,0.0,0.012678288431061807,"[11, 284, 78, 7811, 136, 1, 26136]","[0, 1, 19, 0, 0, 0, 0]",['LicenseType' 'Breed' 'Color' 'DogName' 'OwnerZip' 'ExpYear' 'ValidDate'],"August 3, 2018","['CSV', 'CSV', 'CSV', 'CSV', 'CSV', 'CSV', '10 more in dataset']"
12,12,Child Mental Health Treatment,8,3,3,0,"['N', 'N', 'N']",62.5,62.5,0.0,45.83333333333333,45.83333333333333,0.0,"[8, 5, 2]","[0, 4, 7]",['Years' 'Historical Data' 'Target'],"May 8, 2019","['CSV', 'CSV']"
13,13,Sales Tax Rates,2129,3,1,2,"['S', 'N', 'S']",34.460623140754656,5.871301080319399,48.75528417097229,3.413183028025677,0.0,5.119774542038516,"[220, 125, 1856]","[0, 0, 218]",['County' 'SalesTax' 'Location 1'],"May 1, 2019","['CSV', 'RDF', 'JSON', 'XML']"
14,14,Railroad Mileposts BNSF,1858,4,2,2,"['N', 'S', 'N', 'S']",30.31485468245425,58.988159311087195,1.6415500538213132,1.708826695371367,3.417653390742734,0.0,"[1858, 56, 334, 5]","[0, 0, 127, 0]",['OBJECTID' 'SUBDIVISION' 'MILEPOST' 'TRACK'],"February 27, 2019","['data', 'rest', 'CSV', 'HTML', 'XML']"
15,15,Airport Runways,131,17,6,11,"['N', 'S', 'S', 'S', 'S', 'S', 'S', 'N', 'N', 'S', 'S', 'S', 'S', 'N', 'S', 'N', 'N']",36.147283340817246,43.89312977099237,31.92227619708536,0.0,0.0,0.0,"[131, 94, 94, 94, 1, 131, 19, 65, 16, 15, 4, 2, 5, 1, 1, 1, 131]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['OBJECTID' 'LOCID' 'SITENO' 'FULLNAME' 'FAA_ST' 'UNIQUE_ID' 'RWY_ID'
 'RWY_LEN' 'RWY_WITH' 'RWY_SFC_TY' 'RWY_SFC_TR' 'PAV_CLASS_' 'RWY_LIGHTS'
 'STFIPS' 'ST_POSTAL' 'VERSION' 'SHAPE.LEN']","February 27, 2019","['data', 'rest', 'CSV', 'HTML', 'XML']"
16,16,Heart Disease Deaths,9,3,3,0,"['N', 'N', 'N']",55.55555555555556,55.55555555555556,0.0,0.0,0.0,0.0,"[9, 4, 2]","[0, 0, 0]",['Years' 'Historical Data' 'Target'],"May 8, 2019","['CSV', 'CSV']"
17,17,Census Tracts 2010 (geographic data),215,33,30,3,"['S', 'N', 'N', 'N', 'S', 'N', 'N', 'N', 'N', 'S', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']",70.00704721634953,70.32558139534883,66.82170542635659,0.0,0.0,0.0,"[215, 215, 215, 160, 1, 1, 1, 1, 215, 215, 215, 215, 215, 208, 214, 210, 203, 53, 198, 14, 166, 159, 194, 210, 209, 203, 25, 195, 13, 47, 132, 215, 215]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the_geom' 'OBJECTID' 'ALAND10' 'AWATER10' 'STUSAB' 'SUMLEV' 'STATE'
 'COUNTY' 'TRACT' 'NAME' 'CT2010' 'LATITUDE' 'LONGITUDE' 'TOTAL' 'ONE_RACE'
 'WHITE' 'BLACK' 'AIAN' 'ASIAN' 'NHOPI' 'OTHER' 'MULT_RACE' 'HL' 'NHL'
 'NH_WHITE' 'NH_BLACK' 'NH_AIAN' 'NH_ASIAN' 'NH_NHOPI' 'NH_OTHER'
 'NH_MULT_RA' 'SHAPE_AREA' 'SHAPE_LEN']","February 8, 2018","['KML', 'KML', 'ZIP', 'ZIP', 'JSON', 'CSV']"
18,18,Trauma Center Locations,45,14,6,8,"['N', 'N', 'S', 'S', 'S', 'S', 'S', 'N', 'N', 'N', 'S', 'S', 'N', 'S']",66.66666666666666,84.81481481481481,53.05555555555556,0.0,0.0,0.0,"[45, 5, 4, 45, 44, 43, 2, 44, 45, 45, 4, 4, 45, 45]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['OBJECTID' 'ID' 'REGION' 'LOCAL_ADDR' 'MAIL_ADDR' 'CITY' 'STATE'
 'ZIP_CODE' 'LATITUDE' 'LONGITUDE' 'TRAUMA_LEV' 'TRAUMA_LEVTEXT'
 'LICENSE_NO' 'NAME']","March 27, 2019","['data', 'rest', 'CSV', 'HTML', 'XML']"
19,19,City of Bloomington Annual Compensation,1194,5,1,4,"['S', 'S', 'S', 'S', 'N']",44.0536013400335,97.82244556113902,30.611390284757118,0.0,0.0,0.0,"[1191, 40, 230, 1, 1168]","[0, 0, 0, 0, 0]",['Employee' 'Department' 'Job Title/Duties' 'City' 'Compensation in 2012'],"August 9, 2018","['CSV', 'CSV', 'CSV', 'CSV', 'CSV', 'CSV', '1 more in dataset']"
20,20,311 Data,409494,17,10,7,"['N', 'S', 'S', 'S', 'N', 'S', 'S', 'N', 'N', 'N', 'N', 'N', 'N', 'S', 'N', 'N', 'S']",18.008207546817463,22.764484949718433,11.213525542673223,3.9631263720304455,5.265229771376381,2.102978658679109,"[409494, 320834, 336, 10, 4, 55, 92, 10, 34, 259, 8, 34, 7, 101, 260843, 261499, 3]","[1, 0, 0, 0, 0, 4048, 28266, 27655, 28132, 26821, 28134, 28132, 28357, 27967, 24188, 24188, 0]","['REQUEST_ID' 'CREATED_ON' 'REQUEST_TYPE' 'REQUEST_ORIGIN' 'STATUS'
 'DEPARTMENT' 'NEIGHBORHOOD' 'COUNCIL_DISTRICT' 'WARD' 'TRACT'
 'PUBLIC_WORKS_DIVISION' 'PLI_DIVISION' 'POLICE_ZONE' 'FIRE_ZONE' 'X' 'Y'
 'GEO_ACCURACY']","August 3, 2018","['CSV', 'HTML', 'EXCEL', 'EXCEL', 'HTML']"
21,21,State Employee Turnover Rate,6,3,1,2,"['N', 'S', 'S']",55.55555555555556,100.0,33.33333333333333,0.0,0.0,0.0,"[6, 2, 2]","[0, 0, 0]",['Years' 'Historical Data' 'Regional Average'],"May 8, 2019",['CSV']
22,22,Health Care Cost Growth,9,3,1,2,"['N', 'S', 'S']",59.25925925925925,100.0,38.88888888888889,44.44444444444444,0.0,66.66666666666666,"[9, 4, 3]","[0, 6, 6]",['Years' 'Historical Data' 'National Average'],"May 8, 2019","['CSV', 'CSV']"
23,23,Restaurants,1327,9,5,4,"['S', 'N', 'S', 'N', 'S', 'S', 'N', 'N', 'N']",22.758100979653353,0.7385079125847777,50.28259231348907,33.33333333333333,60.0,0.0,"[1277, 32, 173, 14, 9, 1210, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1327, 1327, 1327]","['name' 'zipCode' 'neighborhood' 'councilDistrict' 'policeDistrict'
 'Location 1' '2010 Census Neighborhoods' '2010 Census Wards Precincts'
 'Zip Codes']","May 3, 2019","['CSV', 'RDF', 'JSON', 'XML']"
24,24,Adolescent Obesity,7,3,1,2,"['N', 'S', 'S']",57.14285714285714,100.0,35.714285714285715,47.61904761904761,0.0,71.42857142857143,"[7, 3, 2]","[0, 4, 6]",['Years' 'Historical Data' 'Target'],"May 8, 2019","['CSV', 'CSV']"
25,25,Boundaries - Census Blocks - 2010,46357,8,6,2,"['S', 'N', 'N', 'N', 'N', 'N', 'S', 'N']",38.03309101106629,33.82660655348707,50.652544383803956,0.0,0.0,0.0,"[46311, 1, 1, 811, 651, 46311, 651, 46311]","[0, 0, 0, 0, 0, 0, 0, 0]","['the_geom' 'STATEFP10' 'COUNTYFP10' 'TRACTCE10' 'BLOCKCE10' 'GEOID10'
 'NAME10' 'TRACT_BLOC']","March 29, 2019","['KML', 'KML', 'ZIP', 'ZIP', 'JSON', 'CSV']"
26,26,NYPD Arrests Data (Historic),4798339,18,9,9,"['N', 'S', 'N', 'S', 'N', 'S', 'S', 'S', 'S', 'N', 'N', 'S', 'S', 'S', 'N', 'N', 'N', 'N']",5.946102738190583,11.874516484882697,0.017688991498470155,0.049980258214816047,0.02108136910617519,0.07887914732345691,"[4798339, 4748, 326, 352, 76, 76, 2350, 5, 6, 78, 28, 92, 2, 8, 63565, 66363, 99619, 99622]","[0, 0, 220, 8870, 8870, 8870, 196, 16103, 8, 0, 10, 17, 0, 0, 1, 1, 1, 1]","['ARREST_KEY' 'ARREST_DATE' 'PD_CD' 'PD_DESC' 'KY_CD' 'OFNS_DESC'
 'LAW_CODE' 'LAW_CAT_CD' 'ARREST_BORO' 'ARREST_PRECINCT'
 'JURISDICTION_CODE' 'AGE_GROUP' 'PERP_SEX' 'PERP_RACE' 'X_COORD_CD'
 'Y_COORD_CD' 'Latitude' 'Longitude']","May 21, 2019","['CSV', 'RDF', 'JSON', 'XML']"
27,27,High School Graduation Rate,6,3,1,2,"['N', 'S', 'S']",55.55555555555556,100.0,33.33333333333333,0.0,0.0,0.0,"[6, 2, 2]","[0, 0, 0]",['Years' 'Historical Data' 'Target'],"May 8, 2019","['CSV', 'CSV']"
28,28,2005 - 2015 Graduation Outcomes,430,22,20,2,"['N', 'S', 'S', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']",63.45665961945032,69.62790697674419,1.744186046511628,0.6342494714587738,0.6976744186046512,0.0,"[11, 5, 10, 248, 428, 287, 430, 332, 296, 364, 162, 231, 418, 297, 281, 417, 207, 306, 423, 247, 400, 203]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]","['Cohort Year' 'Cohort Category' 'Demographic' '# Total Cohort'
 '# Total Grads' '% of cohort Total Grads' '# of cohort Total Grads'
 '% of cohort Total Regents' '% of grads  Total Regents'
 '# of grads  Total Regents' '% of cohort  Advanced Regents'
 '% of grads  Advanced Regents' '# of grads  Advanced Regents'
 '% of cohort  Regents w/o Advanced' '% of grads  Regents w/o Advanced'
 '# of grads  Regents w/o Advanced' '% of cohort Local' '% of grads Local'
 '# Still Enrolled' '% of cohort Still Enrolled' '# Dropped Out'
 '% of cohort Dropped Out']","April 17, 2019","['CSV', 'RDF', 'JSON', 'XML']"
29,29,Cancer Deaths,9,3,3,0,"['N', 'N', 'N']",55.55555555555556,55.55555555555556,0.0,0.0,0.0,0.0,"[9, 4, 2]","[0, 0, 0]",['Years' 'Historical Data' 'Target'],"May 8, 2019","['CSV', 'CSV']"
30,30,Allegheny County Traffic Counts,1305,27,26,1,"['S', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']",48.028948488718605,46.03006189213086,100.0,0.0,0.0,0.0,"[1305, 1304, 1304, 215, 158, 150, 174, 263, 466, 639, 678, 682, 663, 645, 642, 729, 730, 738, 749, 777, 733, 665, 645, 596, 525, 420, 328]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['sensor_ID' 'Longitude' 'Latitude' '1a' '2a' '3a' '4a' '5a' '6a' '7a' '8a'
 '9a' '10a' '11a' '12p' '1p' '2p' '3p' '4p' '5p' '6p' '7p' '8p' '9p' '10p'
 '11p' '12a']","April 4, 2018","['CSV', 'CSV', 'HTML']"
31,31,Allegheny County Depression Medication,391,7,7,0,"['N', 'N', 'N', 'N', 'N', 'N', 'N']",78.84545122396784,78.84545122396784,0.0,0.0,0.0,0.0,"[391, 369, 272, 342, 286, 336, 162]","[0, 0, 0, 0, 0, 0, 0]",['CT' 'EPAD' 'EPAN' 'EWAD' 'EWAN' 'EMAD' 'EMAN'],"April 11, 2018","['CSV', 'CSV', 'EXCEL', 'HTML']"
32,32,Type 2 Diabetes,9,3,1,2,"['N', 'S', 'S']",59.25925925925925,100.0,38.88888888888889,48.148148148148145,0.0,72.22222222222221,"[9, 5, 2]","[0, 5, 8]",['Years' 'Historical Data' 'Target'],"May 8, 2019","['CSV', 'CSV', 'XML', 'JSON', 'RDF']"
33,33,Animal Services Intake Data,187593,9,0,9,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']",10.60753866082423,0.0,10.60753866082423,8.47804674066848,0.0,8.47804674066848,"[8, 177164, 1096, 8, 4, 6, 32, 474, 299]","[0, 0, 0, 0, 0, 0, 65, 0, 143073]","['Shelter' 'Animal ID#' 'Intake Date' 'Intake Type' 'Intake Condition'
 'Animal Type' 'Group' 'Breed 1' 'Breed 2']","March 29, 2019","['CSV', 'RDF', 'JSON', 'XML']"
34,34,"Air Carrier Occurrences Involving Illegal Acts (Sabotage, Suicide, or Terrorism), 1995 through 2014",24,7,2,5,"['S', 'S', 'N', 'S', 'S', 'S', 'N']",30.357142857142854,4.166666666666666,40.833333333333336,70.23809523809523,100.0,58.333333333333336,"[12, 11, 1, 8, 8, 10, 1]","[10, 13, 24, 15, 17, 15, 24]","['Table 12.  Air Carrier Occurrences Involving Illegal Acts' 'Unnamed: 1'
 'Unnamed: 2' 'Unnamed: 3' 'Unnamed: 4' 'Unnamed: 5' 'Unnamed: 6']","December 17, 2015",['CSV']
35,35,Pittsburgh City Boundary,8,6,6,0,"['N', 'N', 'N', 'N', 'N', 'N']",100.0,100.0,0.0,0.0,0.0,0.0,"[8, 8, 8, 8, 8, 8]","[0, 0, 0, 0, 0, 0]",['OBJECTID' 'AREA' 'PERIMETER' 'BOUNDARY_' 'BOUNDARY_I' 'Shape_Leng'],"March 28, 2018","['HTML', 'BIN', 'application/vnd.geo+json', 'CSV', 'KML', 'ZIP']"
36,36,Citizen Complaints,3,8,0,8,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']",66.66666666666666,0.0,66.66666666666666,0.0,0.0,0.0,"[3, 1, 2, 1, 2, 3, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0]","['Citizen Complaint #' ""Complainant's Sex"" ""Complainant's Race""
 'Officer Sex' 'Officer Race' 'Shift Complaint Occurred'
 'Nature of Complaint' 'Discipline Issued']","February 10, 2018","['CSV', 'CSV', 'CSV', 'CSV', 'CSV', 'CSV', '2 more in dataset']"
37,37,Physical Activity,7,3,1,2,"['N', 'S', 'S']",61.904761904761905,100.0,42.857142857142854,47.61904761904761,0.0,71.42857142857143,"[7, 4, 2]","[0, 4, 6]",['Years' 'Historical Data' 'Target'],"May 8, 2019","['CSV', 'CSV']"
